team_name,matches_played,possession_avg,shots_per_game,shots_on_target_pg,conversion_rate,xg_for_avg,xg_against_avg,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,home_goals_for,home_goals_against,away_goals_for,away_goals_against,clean_sheet_pct,clean_sheet_pct_home,clean_sheet_pct_away,failed_to_score_pct,failed_to_score_pct_home,failed_to_score_pct_away,btts_pct,btts_pct_home,btts_pct_away,over25_pct,over25_pct_home,over25_pct_away,last5_form,last5_wins,last5_draws,last5_losses,last5_goals_for,last5_goals_against,last5_ppg,last5_cs_pct,last5_fts_pct,last5_btts_pct,last5_over25_pct
Arsenal,14,59,14.43,6.14,13,1.71,0.83,6,1,0,4,2,1,18,2,9,5,57,71,43,7,0,14,36,29,43,43,71,14,LWDWD,2,2,1,10,6,1.6,20,0,80,60
Manchester City,14,57,14.14,6.21,16,1.67,1.14,6,0,1,3,1,3,19,6,13,10,36,43,29,14,14,14,50,43,57,79,86,71,WWWLW,4,0,1,15,8,2.4,40,0,60,100
Aston Villa,14,53,11.64,4.86,12,1.35,1.39,5,1,1,3,2,2,11,5,9,9,36,57,14,36,29,43,29,14,43,43,29,57,WWWWW,5,0,0,13,5,3.0,40,0,60,80
Chelsea,14,59,14.14,6.07,13,1.66,1.13,3,2,2,4,1,2,10,7,15,8,43,43,43,7,14,0,50,43,57,64,43,86,DLDWW,2,2,1,7,4,1.6,60,20,40,40
Crystal Palace,14,43,11.57,4.86,11,1.32,1.29,2,4,1,4,1,2,9,7,9,4,50,43,57,29,29,29,21,29,14,36,43,29,WWLWD,3,1,1,6,3,2.0,60,20,40,40
Sunderland,14,42,9.71,4.29,13,1.12,1.71,4,3,0,2,2,3,14,7,4,7,29,29,29,29,0,57,43,71,14,36,75,14,LDWLD,1,2,2,6,9,1.0,0,40,60,60
Brighton,14,50,12.86,5.43,13,1.52,1.35,4,2,1,2,2,3,15,10,9,10,21,14,29,14,0,29,64,86,43,64,86,57,DLWWD,2,2,1,8,6,1.6,40,20,60,40
Manchester United,14,53,15.29,6.36,10,1.69,1.29,4,1,2,2,3,2,12,8,10,13,7,14,0,21,29,14,71,57,86,64,71,57,DWLDD,1,3,1,7,7,1.2,0,20,80,60
Liverpool,14,62,15.43,6.21,10,1.70,1.29,4,1,2,3,0,4,11,9,10,12,29,29,29,14,14,14,57,57,57,64,71,57,DDWLL,1,2,2,6,10,1.0,20,40,40,60
Everton,14,44,10.57,4.29,10,1.26,1.51,3,2,2,3,1,3,8,9,7,8,36,43,29,29,29,29,36,29,43,36,43,29,WWLWW,4,0,1,8,4,2.4,80,0,20,40
Tottenham,14,53,9.43,4.07,17,1.16,1.39,1,2,4,4,2,1,8,9,15,9,29,14,43,14,29,0,57,57,57,64,43,86,WDLLD,1,2,2,8,10,1.0,20,0,80,80
Newcastle,14,50,12.29,4.86,11,1.50,1.35,4,1,2,1,3,3,12,9,7,9,36,29,43,21,0,43,43,71,14,57,75,29,WDWWL,3,1,1,11,8,2.0,0,0,100,100
Brentford,14,43,10.5,4.57,14,1.26,1.41,5,1,1,1,0,6,15,8,6,14,14,14,14,21,14,29,64,71,57,64,71,57,LLWLW,2,0,3,7,8,1.2,0,40,60,60
Bournemouth,14,53,13.07,5.36,11,1.54,1.40,4,2,1,1,2,4,10,5,11,19,29,43,14,21,29,14,50,29,71,71,29,100,DLLDL,0,2,3,4,10,0.4,20,60,40,60
Fulham,14,50,11.71,4.79,12,1.34,1.34,4,1,2,1,1,5,13,8,6,14,21,43,0,21,14,29,57,43,71,64,75,57,LLWWL,2,0,3,8,10,1.2,20,20,60,60
Nottingham Forest,14,50,12.5,5.07,8,1.48,1.52,2,1,4,2,2,3,8,13,6,9,14,0,29,50,57,43,36,43,29,50,75,29,LWLWW,3,0,2,7,6,1.8,40,40,20,60
Leeds,14,46,12.29,4.93,9,1.34,1.38,3,2,2,1,0,6,10,8,6,18,14,29,0,36,14,57,50,57,43,64,57,86,DWLLL,1,1,3,10,12,0.8,0,0,100,100
West Ham,14,43,9.86,4.21,12,1.18,1.77,2,0,5,1,3,3,8,17,8,11,7,0,14,36,43,29,57,57,57,64,71,57,DDLDW,1,3,1,7,8,1.2,0,20,80,40
Burnley,14,41,8.21,3.57,13,0.99,1.83,2,1,4,1,0,6,5,7,10,21,14,29,0,36,57,14,50,14,86,43,14,86,LLLLL,0,0,5,4,11,0.0,0,40,60,60
Wolverhampton Wanderers,14,48,9.07,4.07,6,1.08,1.55,0,1,6,0,1,6,6,17,1,12,0,0,0,64,43,86,36,57,14,50,75,25,LLLLL,0,0,5,0,10,0.0,0,100,0,40
